timestamp,kind,message
2026-09-22 23:27:12,BACKFILL,replayed missing days 2026-09-16..2026-09-20 using historical closes; live rows untouched
2026-09-22 23:27:12,BACKFILL_ADJUST,[backfill] adjusted 2026-09-21: funding_pnl +192.6134 -> +90.6564 (removed payments already credited to backfilled rows; equity/cash/fills unchanged)
