timestamp,kind,message
2026-09-22 23:27:08,BACKFILL,replayed missing days 2026-09-16..2026-09-20 using historical closes; live rows untouched
2026-09-22 23:27:09,BACKFILL_ADJUST,[backfill] adjusted 2026-09-21: funding_pnl +108.4901 -> +39.9121 (removed payments already credited to backfilled rows; equity/cash/fills unchanged)
